X,Y,OBJECTID,Name,County,Latitude,Longitude,Status,Date_Data_Refers_To,Comments,Source,Last_Modified_Date,ID,DWR_Regional_Office_,Elevation,Connect,Disconnect,Last_Modified_By
-116.938000000145,33.049000000072,98,Ramona,San Diego,33.049,-116.938,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,98,SRO,1340,1991/04/20 00:00:00+00,5/28/1998,"AU, GDSS"
-118.476886000065,34.0443109998389,99,Santa Monica,Los Angeles,34.044311,-118.476886,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,99,SRO,358,1992/12/11 00:00:00+00,Active,"AU, GDSS"
-121.968000000234,37.5249999997368,100,Fremont,Alameda,37.525,-121.968,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,100,NCRO,40,1991/08/29 00:00:00+00,6/19/2000,"AU, GDSS"
-118.789167000026,34.4022220001898,101,Piru,Ventura,34.402222,-118.789167,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,101,SRO,640,1991/08/27 00:00:00+00,2/20/2005,"AU, GDSS"
-118.093999999633,33.7970000002167,102,El Dorado,Los Angeles,33.797,-118.094,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,102,SRO,17,1990/10/24 00:00:00+00,10/20/1999,"AU, GDSS"
-122.813886000331,38.5268219996725,103,Windsor,Sonoma,38.526822,-122.813886,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,103,NCRO,90,1990/12/14 00:00:00+00,Active,"AU, GDSS"
-121.99686299967,36.9978309997533,104,De Laveaga,Santa Cruz,36.997831,-121.996863,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,104,SCRO,314,1990/09/28 00:00:00+00,Active,"AU, GDSS"
-120.381811000071,36.6340279999058,105,Westlands,Fresno,36.634028,-120.381811,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,105,SCRO,191,1992/04/17 00:00:00+00,Active,"AU, GDSS"
-123.088704000144,38.9827369998166,106,Sanel Valley,Mendocino,38.982737,-123.088704,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,106,NCRO,549,1991/02/01 00:00:00+00,Active,"AU, GDSS"
-119.73732899976,34.4373520001356,107,Santa Barbara,Santa Barbara,34.437352,-119.737329,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,107,SRO,250,1993/04/07 00:00:00+00,Active,"AU, GDSS"
-122.162000000109,40.0429999997849,108,Gerber Dryland,Tehama,40.043,-122.162,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,108,NRO,245,1991/03/11 00:00:00+00,5/12/1998,"AU, GDSS"
-122.354963999916,38.2195029996968,109,Carneros,Napa,38.219503,-122.354964,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,109,NCRO,14,1993/03/11 00:00:00+00,1/13/2022,"AU, GDSS"
-116.641999999919,34.8399999997806,110,Newberry Springs,San Bernardino,34.84,-116.642,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,110,SRO,1929,1992/02/21 00:00:00+00,12/27/1996,"AU, GDSS"
-121.763941999805,36.9439639998187,111,Green Valley Road,Santa Cruz,36.943964,-121.763942,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,111,SCRO,110,1992/05/29 00:00:00+00,1/28/2021,"AU, GDSS"
-120.958000000244,36.0789999997899,112,San Ardo,Monterey,36.079,-120.958,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,112,SCRO,374,1993/06/18 00:00:00+00,3/13/1995,"AU, GDSS"
-121.08445500017,36.1212750000532,113,King City-Oasis Rd.,Monterey,36.121275,-121.084455,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,113,SCRO,552,1993/06/12 00:00:00+00,Active,"AU, GDSS"
-121.291247999635,36.3474150002757,114,Arroyo Seco,Monterey,36.347415,-121.291248,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,114,SCRO,235,1993/06/18 00:00:00+00,Active,"AU, GDSS"
